case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0000,1,0.0,0.0,0.7007
s0000,2,0.0,0.0,0.0622
s0001,1,0.0,0.0,1.0
s0001,2,0.0070491708557231,0.0154092765913439,0.5448
s0001,3,0.0,0.0,0.087
s0002,1,0.0,0.0,0.4485
s0002,2,0.0,0.0,0.2992
s0003,1,0.217927287923109,0.2397729320598306,0.8268
s0003,2,0.0,0.0,0.4292
s0004,1,0.0088054617661495,0.0003368498415274,0.2323
s0004,2,0.3698439370223736,0.2579711244279248,0.6802
s0004,3,0.0908374901548963,0.0651465798045602,0.339
s0004,4,0.0275562001450326,0.0263548626577579,0.7802
s0004,5,0.0374310985771055,0.0930202103976603,0.8342
s0006,1,0.0,0.0,1.0
s0009,1,0.0039803824010235,0.0024081878386514,0.455
s0010,1,0.0,0.0,0.5426
s0010,2,0.0289410963568266,0.0264921302789465,0.3711
s0012,1,0.0,0.0,0.212
s0012,2,0.1205298706738572,0.0955963372468558,0.6727
s0012,3,0.5582085968647917,0.4324353289482497,0.4022
s0021,1,0.0,0.0,1.0
s0021,2,0.0069244085401038,0.0045749142203583,0.1525
s0021,3,0.0,0.005813953488372,0.584
s0021,4,0.0,0.0,0.6571
s0024,1,0.4796385542168674,0.4166098724564307,0.56
s0024,2,0.0040217711880312,0.0035480284788419,0.3191
s0024,3,0.0,0.0,0.3151
s0024,4,0.0,0.0,1.0
s0028,1,0.0,0.0,0.4551
s0028,2,0.0,0.0,0.3094
s0029,1,0.0,0.0042987641053197,0.2618
s0029,2,0.0,0.0,0.1607
s0029,3,0.0,0.0,1.0
s0029,4,0.0,0.0026799387442572,0.1167
s0029,5,0.0866214291698081,0.1323069114288131,0.4591
s0034,1,0.0267911873940792,0.0214631091940028,0.6933
s0037,1,0.0,0.0,0.3178
s0038,1,0.0,0.0,1.0
s0038,2,0.0,0.0,1.0
s0038,3,0.7486790802754801,0.6450338417694873,0.7474
s0040,1,0.0,0.0185771585391598,0.512
s0043,1,0.1354231006794317,0.1428493717021161,0.5395
s0044,1,0.0,0.0,0.5705
s0044,2,0.0,0.0,0.5745
s0046,1,0.0,0.0176678445229682,0.0875
s0046,2,0.0,0.0,0.2341
s0046,3,0.0016607697306664,0.0015831179001793,0.2674
s0046,4,0.013120131201312,0.0178265745823741,0.1417
s0046,5,0.0,0.0,0.4843
s0046,6,0.0,0.0,0.6884
s0046,7,0.1942104457037831,0.5301649083273584,0.5425
s0046,8,0.0,0.0,0.3295
s0050,1,0.0,0.0,0.1989
s0056,1,0.0,0.0,0.5633
s0057,1,0.0081256771397616,0.0215384615384615,0.2589
s0057,2,0.0,0.0007507507507507,0.1734
s0057,3,0.0010411244143675,0.0009868015295423,0.0725
s0057,4,0.0,0.0,0.2989
s0057,5,0.1614794767704104,0.1428756309046201,0.1696
s0058,1,0.042544651816175,0.0345821325648415,0.1652
s0058,2,0.0,0.0,0.2901
s0058,3,0.0033514872224549,0.0370128456346614,0.6471
s0058,4,0.2956690482490959,0.3404157924852183,0.7109
s0058,5,0.0,0.0,0.5807
s0059,1,0.0205155891483331,0.0205000776518092,0.1197
s0059,2,0.005893909626719,0.0196597353497164,0.2513
s0059,3,0.0,0.0,0.2695
s0059,4,0.0,0.0,0.6079
s0059,5,0.0688039716113694,0.0511264080100125,0.6153
s0061,1,0.0160692212608158,0.0133239831697054,0.0901
s0061,2,0.0612332902112979,0.0595637583892617,0.1818
s0061,3,0.0,0.0,0.1479
s0061,4,0.0,0.0,0.0877
s0061,5,0.0,0.0,0.3871
s0063,1,0.0,0.0,0.364
s0063,2,0.0,0.0,0.1807
s0063,3,0.0,0.0,0.6229
s0067,1,0.0365972757645849,0.0525212924158442,0.1863
s0067,2,0.0088454910970706,0.0225355368080434,0.2294
s0067,3,0.0,0.0,0.3791
s0067,4,0.0,0.0,0.7388
s0067,5,0.0132342461569785,0.0152077236802691,0.2217
s0070,1,0.0052383446830801,0.0109185853311179,0.1146
s0070,2,0.0,0.0014280614066404,0.4258
s0070,3,0.0,0.0598052851182197,0.5313
s0071,1,0.0,0.0,1.0
s0071,2,0.0,0.0,0.1039
s0071,3,0.0,0.0,0.208
s0071,4,0.0156497128111212,0.0339026582766148,0.2887
s0071,5,0.0029600750848314,0.0123491265630332,0.4792
s0079,1,0.0,0.0,0.4691
s0080,1,0.0,0.00659195781147,0.2154
s0080,2,0.0031003704126756,0.004484659825362,0.3298
s0080,3,0.0,0.0,0.2857
s0086,1,0.0,0.0,0.1681
s0086,2,0.0,0.0,0.0632
s0089,1,0.0,0.0,1.0
s0089,2,0.0,0.0,1.0
s0102,1,0.002072002072002,0.0244868563197695,0.1131
s0102,2,0.0,0.0,0.103
s0103,1,0.0,0.0,0.0263
s0108,1,0.0,0.0,1.0
s0110,1,0.0079411421230877,0.055161680788518,0.694
s0117,1,0.0,0.0,1.0
s0117,2,0.0,0.0,0.3949
s0117,3,0.0,0.0,0.5218
s0119,1,0.0,0.0,0.5068
s0119,2,0.0,0.0,1.0
s0120,1,0.0,0.0,0.7067
s0123,1,0.0,0.0,0.5719
s0123,2,0.0137365170093113,0.0208994894033713,0.3433
s0124,1,0.128430296377607,0.1107411696583671,0.5958
s0124,2,0.0,0.0,0.2566
s0124,3,0.0333839150227617,0.0003030762236702,0.2765
s0124,4,0.0,0.0,0.6595
s0128,1,0.1114254373304081,0.3023551553995625,0.1527
s0128,2,0.0220958625753462,0.0324823775957325,0.4754
s0131,1,0.0052213974916815,0.0044520979461548,0.0479
s0132,1,0.9244794916888864,0.8553048797963559,0.8535
s0133,1,0.0457624016108365,0.0859977949283351,0.1698
s0137,1,0.0,0.0,0.1036
s0139,1,0.0197449609214315,0.0150287313982613,0.3197
s0141,1,0.238999536822603,0.1400675929402929,0.4227
s0141,2,0.0,0.0,1.0
s0141,3,0.0330123796423658,0.1488636363636363,0.8425
s0143,1,0.0,0.0,
s0143,2,0.0,0.0,
s0143,3,0.0,0.0,
s0146,1,0.0,0.0,
s0146,2,0.8137484152697563,0.6857916246483732,
s0146,3,0.7145753767099507,0.6084642874975925,
s0146,4,0.8188201151487728,0.7458246579180277,
s0146,5,0.8048591530738622,0.7390503748520321,
s0150,1,0.0,0.0006650041562759,
s0150,2,0.0,0.0,
s0150,3,0.0004556846662109,0.0016134236850596,
s0150,4,0.0,0.0,
s0150,5,0.1727742097972547,0.1683871578747987,
s0151,1,0.0,0.0,
s0151,2,0.0,0.0,
s0152,1,0.0,0.0,
s0152,2,0.0028288543140028,0.0069952305246422,
s0152,3,0.0013745704467353,0.0,
s0152,4,0.0034696406443618,0.0223187833300414,
s0153,1,0.786557714068533,0.5663469263306651,
s0153,2,0.0,0.0,
s0156,1,0.0,0.0,
s0156,2,0.0597612629957643,0.0398218764395761,
s0156,3,0.0249229778820067,0.0251462220984363,
s0156,4,0.0,0.0024542028223332,
s0157,1,0.0291548496880317,0.0262262190534198,
s0157,2,0.0102245250431778,0.0233401671660621,
s0157,3,0.1353227950952873,0.1174977794696104,
s0158,1,0.0002404568680492,0.0004625346901017,
s0158,2,0.0,0.0,
s0160,1,0.0,0.0186236656824892,
s0160,2,0.0,0.0,
s0160,3,0.0225906966392165,0.015134107206529,
s0161,1,0.0,0.0,
s0161,2,0.1415244144501786,0.1432255504860146,
s0162,1,0.6562692386620151,0.5094673750170277,
s0162,2,0.8399845157657657,0.8215860768927272,
s0163,1,0.0250958522133147,0.0586203493535971,
s0163,2,0.0007949757532395,0.0006426322215795,
s0163,3,0.0,0.0,
s0165,1,0.0,0.0,
s0166,1,0.1312004696213677,0.1184198845983133,
s0166,2,0.0,0.0,
s0167,1,0.0274599542334096,0.0253882178949963,
s0170,1,0.1595612948876702,0.0980932871099905,
s0171,1,0.1591979340726112,0.1461864406779661,
s0171,2,0.0,0.0,
s0174,1,0.0,0.0,
